"Data Dictionary",""
"",""
"--- Time and Location Data ---",""
"timestamp_iso","The exact date and time the record was created on the device (in ISO 8601 format)."
"gps_time_utc","The precise Coordinated Universal Time (UTC) provided by the GPS satellites, used for global time synchronization."
"latitude","The north/south geographic coordinate of the device."
"longitude","The east/west geographic coordinate of the device."
"speed_kmh","The current speed of the vehicle in kilometers per hour."
"heading_deg","The compass direction (0-360 degrees) the vehicle is traveling."
"altitude_m","The elevation of the device above sea level, measured in meters."
"",""
"--- GPS Quality Metrics ---",""
"satellites","The number of GPS satellites the device is currently locked onto. A higher number generally means better location accuracy."
"hdop","Horizontal Dilution of Precision. This is a measure of GPS accuracy. A lower value (typically 1 or 2) indicates high precision, while a higher value indicates lower accuracy."
"",""
"--- Distance Data ---",""
"distance_m","The distance (in meters) of the segment or between points."
"cumulative_distance_m","The cumulative distance (in meters) traveled since the start of the recording session."
"",""
"--- Sensor (IMU) Data ---","These represent the readings from the device's Inertial Measurement Unit (IMU), which detects vibrations caused by road roughness."
"rms_accel_z","RMS vertical acceleration for segments."
"max_accel_z","Max vertical acceleration for segments."
"avg_accel_z","Average vertical acceleration for segments."
"sample_count","Number of samples for segments."
"",""
"--- Road Roughness (IRI) Analytics ---",""
"iri_value","The calculated International Roughness Index. If 0, the vehicle is stationary or the processing engine has not yet begun reporting roughness."
"iri_class","A categorical label (e.g., ""D"") representing the road surface condition based on the IRI value."
"quality_score","A numerical score reflecting the reliability of the IRI calculation."
"quality_grade","A letter grade (e.g., ""F"") summarizing the confidence in the measurement."
"sensor_rate_hz","The sampling frequency of your sensors, measured in Hertz (Hz). e.g., 100 means the device is capturing 100 sensor readings every second."
"",""
"--------------------------------------------------------------------------------------------------------------------------------",""
segment_index,timestamp_iso,gps_time_utc,start_lat,start_lng,end_lat,end_lng,avg_speed_kmh,heading_deg,altitude_m,satellites,hdop,distance_m,cumulative_distance_m,rms_accel_z,max_accel_z,avg_accel_z,sample_count,iri_value,raw_iri,iri_class,iri_standard,quality_score,quality_grade,sensor_rate_hz
0,2026-07-24T14:18:15.159+05:30,2026-07-24T08:48:15.159Z,30.644456,76.684403,30.64653,76.683774,0.299,0,263.22,34,0,238.35,238.35,9.774183,10.709264,9.773008,252,0,0,A,WORLD_BANK,0,A,122.8
1,2026-07-24T14:18:20.148+05:30,2026-07-24T08:48:20.148Z,30.64653,76.683774,30.646526,76.683883,8.925,102,263.55,54,0,11.62,249.97,9.716844,11.310209,9.70062,629,0,0,A,WORLD_BANK,0,A,125.4
2,2026-07-24T14:18:24.162+05:30,2026-07-24T08:48:24.162Z,30.646526,76.683883,30.646488,76.684025,12.796,106.93,263.68,51,0,14.31,264.28,9.726229,12.361263,9.699887,503,4.2955,0,C,WORLD_BANK,0,C,124.9
3,2026-07-24T14:18:27.158+05:30,2026-07-24T08:48:27.158Z,30.646488,76.684025,30.646468,76.684168,15.942,103.48,263.78,54,0,13.88,278.16,9.751069,11.693281,9.720199,377,5.1235,0,C,WORLD_BANK,0,C,124.9
4,2026-07-24T14:18:29.162+05:30,2026-07-24T08:48:29.162Z,30.646468,76.684168,30.646444,76.684315,26.38,100.15,263.91,55,0,14.31,292.47,9.634432,11.063606,9.615694,252,3.4219,0,B,WORLD_BANK,100,B,124.9
5,2026-07-24T14:18:31.193+05:30,2026-07-24T08:48:31.193Z,30.646444,76.684315,30.646411,76.684479,26.853,101.95,264.05,55,0,16.03,308.5,9.820499,12.052411,9.781649,251,1.3472,0,A,WORLD_BANK,100,A,124.9
6,2026-07-24T14:18:33.152+05:30,2026-07-24T08:48:33.152Z,30.646411,76.684479,30.646386,76.684638,27.918,100,264.11,55,0,15.47,323.97,9.811291,11.975797,9.774343,251,1.5292,0,A,WORLD_BANK,100,A,125.3
7,2026-07-24T14:18:35.178+05:30,2026-07-24T08:48:35.178Z,30.646386,76.684638,30.646355,76.684796,28.08,103,264.26,58,0,15.54,339.5,9.78888,12.196063,9.745956,251,1.2043,0,A,WORLD_BANK,100,A,125
8,2026-07-24T14:18:37.167+05:30,2026-07-24T08:48:37.167Z,30.646355,76.684796,30.646323,76.684961,29.214,102,264.42,57,0,16.15,355.66,9.750784,12.155362,9.715213,251,1.444,0,A,WORLD_BANK,100,A,124.9
9,2026-07-24T14:18:39.171+05:30,2026-07-24T08:48:39.171Z,30.646323,76.684961,30.646293,76.685132,29.682,101,264.56,56,0,16.72,372.38,10.156755,26.800694,9.67246,251,1.5278,1.942,A,WORLD_BANK,50,A,124.9
10,2026-07-24T14:18:41.193+05:30,2026-07-24T08:48:41.193Z,30.646293,76.685132,30.646261,76.685297,29.61,100,248.07,59,0,16.22,388.6,9.914236,20.537462,9.678641,251,5.6321,1.942,C,WORLD_BANK,50,C,125
11,2026-07-24T14:18:43.141+05:30,2026-07-24T08:48:43.141Z,30.646261,76.685297,30.646228,76.685467,28.764,103,248.13,58,0,16.65,405.25,10.228361,25.081657,9.76923,251,3.4203,2.4801,B,WORLD_BANK,50,B,125.4
12,2026-07-24T14:18:45.179+05:30,2026-07-24T08:48:45.179Z,30.646228,76.685467,30.646194,76.685622,28.224,103,248.37,59,0,15.3,420.55,10.196541,22.747311,9.859828,251,5.9817,2.4801,C,WORLD_BANK,50,C,125
13,2026-07-24T14:18:47.208+05:30,2026-07-24T08:48:47.208Z,30.646194,76.685622,30.64617,76.685783,28.17,99,264.84,60,0,15.62,436.17,10.944463,36.38229,9.45439,253,7.2065,2.4801,D,WORLD_BANK,50,D,124.9
14,2026-07-24T14:18:49.188+05:30,2026-07-24T08:48:49.188Z,30.64617,76.685783,30.646155,76.685952,29.304,96,264.8,59,0,16.25,452.42,9.914288,13.175292,9.873234,253,5.9611,3.9534,C,WORLD_BANK,100,C,124.8
