"Data Dictionary",""
"",""
"--- Time and Location Data ---",""
"timestamp_iso","The exact date and time the record was created on the device (in ISO 8601 format)."
"gps_time_utc","The precise Coordinated Universal Time (UTC) provided by the GPS satellites, used for global time synchronization."
"latitude","The north/south geographic coordinate of the device."
"longitude","The east/west geographic coordinate of the device."
"speed_kmh","The current speed of the vehicle in kilometers per hour."
"heading_deg","The compass direction (0-360 degrees) the vehicle is traveling."
"altitude_m","The elevation of the device above sea level, measured in meters."
"",""
"--- GPS Quality Metrics ---",""
"satellites","The number of GPS satellites the device is currently locked onto. A higher number generally means better location accuracy."
"hdop","Horizontal Dilution of Precision. This is a measure of GPS accuracy. A lower value (typically 1 or 2) indicates high precision, while a higher value indicates lower accuracy."
"",""
"--- Distance Data ---",""
"distance_m","The distance (in meters) of the segment or between points."
"cumulative_distance_m","The cumulative distance (in meters) traveled since the start of the recording session."
"",""
"--- Sensor (IMU) Data ---","These represent the readings from the device's Inertial Measurement Unit (IMU), which detects vibrations caused by road roughness."
"rms_accel_z","RMS vertical acceleration for segments."
"max_accel_z","Max vertical acceleration for segments."
"avg_accel_z","Average vertical acceleration for segments."
"sample_count","Number of samples for segments."
"",""
"--- Road Roughness (IRI) Analytics ---",""
"iri_value","The calculated International Roughness Index. If 0, the vehicle is stationary or the processing engine has not yet begun reporting roughness."
"iri_class","A categorical label (e.g., ""D"") representing the road surface condition based on the IRI value."
"quality_score","A numerical score reflecting the reliability of the IRI calculation."
"quality_grade","A letter grade (e.g., ""F"") summarizing the confidence in the measurement."
"sensor_rate_hz","The sampling frequency of your sensors, measured in Hertz (Hz). e.g., 100 means the device is capturing 100 sensor readings every second."
"",""
"--------------------------------------------------------------------------------------------------------------------------------",""
segment_index,timestamp_iso,gps_time_utc,start_lat,start_lng,end_lat,end_lng,avg_speed_kmh,heading_deg,altitude_m,satellites,hdop,distance_m,cumulative_distance_m,rms_accel_z,max_accel_z,avg_accel_z,sample_count,pitch_deg,roll_deg,lateral_index,context_flag,iri_value,raw_iri,iri_class,iri_standard,quality_score,quality_grade,sensor_rate_hz
0,2026-07-29T17:31:33.312+05:30,2026-07-29T12:01:33.312Z,30.660274,76.683934,30.660098,76.684204,0,271.32,267.1,30,127,32.41,32.41,9.581421,10.060988,9.578104,101,0,0,0,NORMAL,0,0,A,WORLD_BANK,0,A,99.5
1,2026-07-29T17:31:36.942+05:30,2026-07-29T12:01:36.942Z,30.660098,76.684204,30.6607,76.683984,7.968,0,267.1,0,127,70.16,102.57,9.518622,10.09927,9.515398,401,0,0,0,NORMAL,0,0,A,WORLD_BANK,0,A,99.5
2,2026-07-29T17:32:16.266+05:30,2026-07-29T12:02:16.266Z,30.6607,76.683984,30.660577,76.684206,4.693,135,267.1,31,0.49,16.01,118.57,9.509975,11.075461,9.505454,3917,0,0,0,NORMAL,0,0,A,WORLD_BANK,0,A,100
3,2026-07-29T17:32:18.268+05:30,2026-07-29T12:02:18.268Z,30.660577,76.684206,30.660504,76.684282,17.647,137,267.1,32,0.48,10.89,129.46,9.464367,11.209448,9.450857,201,0,0,0,NORMAL,0.4172,0,A,WORLD_BANK,0,A,100
4,2026-07-29T17:32:20.267+05:30,2026-07-29T12:02:20.267Z,30.660504,76.684282,30.660407,76.684361,19.559,143,267.1,32,0.48,13.16,142.62,9.457218,10.443808,9.44819,201,0,0,0,NORMAL,0.9315,0,A,WORLD_BANK,0,A,100
5,2026-07-29T17:32:22.275+05:30,2026-07-29T12:02:22.275Z,30.660407,76.684361,30.660315,76.684432,20.996,143,267.1,32,0.47,12.23,154.86,9.427881,10.405526,9.422002,201,0,0,0,NORMAL,0.8112,0,A,WORLD_BANK,100,A,100
6,2026-07-29T17:32:24.260+05:30,2026-07-29T12:02:24.260Z,30.660315,76.684432,30.660211,76.684522,24.825,143,267.1,32,0.47,14.37,169.23,9.594126,10.769205,9.582939,201,0,0,0,NORMAL,0.8604,0,A,WORLD_BANK,100,A,100
7,2026-07-29T17:32:26.281+05:30,2026-07-29T12:02:26.281Z,30.660211,76.684522,30.660093,76.684622,27.609,144,267.1,32,0.47,16.31,185.54,9.319637,10.405526,9.313822,201,0,0,0,NORMAL,0.6607,0,A,WORLD_BANK,100,A,100
8,2026-07-29T17:32:28.273+05:30,2026-07-29T12:02:28.273Z,30.660093,76.684622,30.659971,76.684725,28.582,144,267.1,32,0.47,16.81,202.35,9.594246,10.922333,9.586843,201,0,0,0,NORMAL,1.6132,0,A,WORLD_BANK,100,A,100
9,2026-07-29T17:32:30.287+05:30,2026-07-29T12:02:30.287Z,30.659971,76.684725,30.659851,76.684826,28.967,143,267.1,32,0.47,16.46,218.81,9.530341,10.788346,9.519326,201,0,0,0,NORMAL,1.0161,0,A,WORLD_BANK,100,A,99.9
10,2026-07-29T17:32:32.259+05:30,2026-07-29T12:02:32.259Z,30.659851,76.684826,30.659728,76.684932,29.665,143,267.1,32,0.48,16.93,235.74,9.579824,10.711782,9.573511,201,0,0,0,NORMAL,1.1059,1.033,A,WORLD_BANK,100,A,99.5
11,2026-07-29T17:32:34.293+05:30,2026-07-29T12:02:34.293Z,30.659728,76.684932,30.659602,76.68504,30.22,144,267.1,32,0.48,17.44,253.18,9.441377,10.309821,9.431906,201,0,0,0,NORMAL,0.9507,1.033,A,WORLD_BANK,100,A,100
12,2026-07-29T17:32:36.258+05:30,2026-07-29T12:02:36.258Z,30.659602,76.68504,30.659473,76.685147,30.68,143,267.1,31,0.5,17.63,270.81,9.549969,10.86491,9.537074,202,0,0,0,NORMAL,0.8442,1.033,A,WORLD_BANK,100,A,100
13,2026-07-29T17:32:38.277+05:30,2026-07-29T12:02:38.277Z,30.659473,76.685147,30.659342,76.685259,31.25,143,267.1,32,0.47,18.08,288.89,9.560381,10.711782,9.546371,201,0,0,0,NORMAL,1.5272,1.1633,A,WORLD_BANK,100,A,99.9
14,2026-07-29T17:32:40.268+05:30,2026-07-29T12:02:40.268Z,30.659342,76.685259,30.65921,76.68537,31.892,144,267.1,32,0.47,18.15,307.04,9.473211,10.520372,9.464474,201,0,0,0,NORMAL,1.3419,1.1633,A,WORLD_BANK,100,A,99.9
15,2026-07-29T17:32:42.266+05:30,2026-07-29T12:02:42.266Z,30.65921,76.68537,30.659074,76.685478,32.378,145,267.1,31,0.48,18.25,325.3,9.570241,10.501231,9.562179,201,0,0,0,NORMAL,0.9208,1.1716,A,WORLD_BANK,100,A,100
16,2026-07-29T17:32:44.267+05:30,2026-07-29T12:02:44.267Z,30.659074,76.685478,30.658942,76.685585,32.576,144,267.1,32,0.47,17.91,343.21,9.457766,10.29068,9.45106,200,0,0,0,NORMAL,0.8766,1.1716,A,WORLD_BANK,100,A,100
17,2026-07-29T17:32:46.276+05:30,2026-07-29T12:02:46.276Z,30.658942,76.685585,30.65881,76.685694,32.842,144,267.1,32,0.47,18.08,361.29,9.472612,10.252398,9.466093,201,0,0,0,NORMAL,0.7028,1.1716,A,WORLD_BANK,100,A,100
18,2026-07-29T17:32:48.264+05:30,2026-07-29T12:02:48.264Z,30.65881,76.685694,30.658676,76.685804,32.976,144,267.1,32,0.47,18.17,379.46,9.583883,10.48209,9.576147,200,0,0,0,NORMAL,0.7992,1.0634,A,WORLD_BANK,100,A,100
19,2026-07-29T17:32:50.267+05:30,2026-07-29T12:02:50.267Z,30.658676,76.685804,30.65854,76.685916,33.18,144,267.1,32,0.47,18.6,398.06,9.347652,10.118411,9.341058,201,0,0,0,NORMAL,1.2701,1.0634,A,WORLD_BANK,100,A,100
20,2026-07-29T17:32:52.264+05:30,2026-07-29T12:02:52.264Z,30.65854,76.685916,30.658404,76.686029,33.43,144,267.1,32,0.46,18.59,416.65,9.483028,10.845769,9.471828,200,0,0,0,NORMAL,1.9003,1.0901,A,WORLD_BANK,100,A,99.4
21,2026-07-29T17:32:54.265+05:30,2026-07-29T12:02:54.265Z,30.658404,76.686029,30.658267,76.686142,33.405,144,267.1,31,0.47,18.6,435.25,9.437677,10.807487,9.423526,201,0,0,0,NORMAL,1.0812,1.0901,A,WORLD_BANK,100,A,100
22,2026-07-29T17:32:56.278+05:30,2026-07-29T12:02:56.278Z,30.658267,76.686142,30.658127,76.686258,33.687,144,267.1,32,0.46,19.15,454.4,9.516351,10.48209,9.506661,201,0,0,0,NORMAL,1.1642,1.0901,A,WORLD_BANK,100,A,99.5
23,2026-07-29T17:32:58.271+05:30,2026-07-29T12:02:58.271Z,30.658127,76.686258,30.65799,76.686379,34.075,143,267.1,32,0.46,19.14,473.55,9.519625,11.400858,9.490091,201,0,0,0,NORMAL,0.7863,1.1571,A,WORLD_BANK,100,A,100
24,2026-07-29T17:33:00.282+05:30,2026-07-29T12:03:00.282Z,30.65799,76.686379,30.657855,76.686499,34.146,143,267.1,32,0.46,18.9,492.45,9.672844,10.788346,9.664144,202,0,0,0,NORMAL,1.4829,1.1571,A,WORLD_BANK,100,A,99.9
25,2026-07-29T17:33:02.264+05:30,2026-07-29T12:03:02.264Z,30.657855,76.686499,30.657721,76.686609,32.604,144,267.1,32,0.46,18.23,510.68,9.675456,11.802819,9.642172,201,0,0,0,NORMAL,1.7234,1.2835,A,WORLD_BANK,100,A,100
26,2026-07-29T17:33:04.280+05:30,2026-07-29T12:03:04.280Z,30.657721,76.686609,30.6576,76.686706,29.264,144,267.1,31,0.48,16.38,527.06,9.440319,10.252398,9.435906,201,0,0,0,NORMAL,2.1834,1.2835,B,WORLD_BANK,100,B,100
27,2026-07-29T17:33:06.274+05:30,2026-07-29T12:03:06.274Z,30.6576,76.686706,30.657498,76.686796,26.214,142,267.1,32,0.48,14.17,541.24,9.516747,10.654359,9.50828,201,0,0,0,NORMAL,1.3813,1.2835,A,WORLD_BANK,100,A,100
28,2026-07-29T17:33:08.274+05:30,2026-07-29T12:03:08.274Z,30.657498,76.686796,30.657408,76.686872,22.008,142,267.1,30,0.52,12.4,553.64,9.65711,10.654359,9.647314,201,0,0,0,NORMAL,0.6398,1.2252,A,WORLD_BANK,100,A,100
29,2026-07-29T17:33:11.272+05:30,2026-07-29T12:03:11.272Z,30.657408,76.686872,30.657318,76.686946,15.516,145,267.1,31,0.5,12.22,565.85,9.541167,12.759869,9.467426,301,0,0,0,NORMAL,2.2423,1.2252,B,WORLD_BANK,100,B,100
30,2026-07-29T17:33:14.277+05:30,2026-07-29T12:03:14.277Z,30.657318,76.686946,30.657228,76.687004,14.782,146,267.1,32,0.48,11.44,577.3,9.492372,11.132884,9.473892,302,0,0,0,NORMAL,1.9019,1.4673,A,WORLD_BANK,74.95,A,100
31,2026-07-29T17:33:19.281+05:30,2026-07-29T12:03:19.281Z,30.657228,76.687004,30.657146,76.68707,9.542,148,267.1,32,0.48,11.19,588.48,9.56452,12.549318,9.501675,503,0,0,0,NORMAL,2.0562,1.5234,B,WORLD_BANK,67.24,B,100
32,2026-07-29T17:33:22.284+05:30,2026-07-29T12:03:22.284Z,30.657146,76.68707,30.657053,76.687148,16.327,142,267.1,32,0.48,12.77,601.26,9.303423,12.109075,9.274108,301,0,0,0,NORMAL,1.7774,1.6504,A,WORLD_BANK,78.41,A,100
33,2026-07-29T17:33:24.272+05:30,2026-07-29T12:03:24.272Z,30.657053,76.687148,30.656953,76.687231,24.949,143,267.1,32,0.48,13.69,614.94,9.636857,10.6735,9.629506,201,0,0,0,NORMAL,1.1141,1.6504,A,WORLD_BANK,78.41,A,99.5
34,2026-07-29T17:33:26.279+05:30,2026-07-29T12:03:26.279Z,30.656953,76.687231,30.656836,76.687328,26.839,144,267.1,32,0.47,15.89,630.83,9.574745,10.6735,9.560385,202,0,0,0,NORMAL,1.1207,1.6504,A,WORLD_BANK,78.41,A,100
35,2026-07-29T17:33:28.272+05:30,2026-07-29T12:03:28.272Z,30.656836,76.687328,30.656715,76.687427,29.331,144,267.1,31,0.47,16.51,647.34,9.508232,11.879383,9.48952,201,0,0,0,NORMAL,1.3491,1.4371,A,WORLD_BANK,100,A,100
36,2026-07-29T17:33:30.275+05:30,2026-07-29T12:03:30.275Z,30.656715,76.687427,30.656576,76.687538,33.069,144,267.1,32,0.47,18.73,666.07,9.363696,11.362576,9.324488,201,0,0,0,NORMAL,1.9728,1.4371,A,WORLD_BANK,100,A,100
37,2026-07-29T17:33:32.267+05:30,2026-07-29T12:03:32.267Z,30.656576,76.687538,30.656436,76.687659,33.659,143,267.1,31,0.49,19.46,685.53,9.619085,11.209448,9.598652,201,0,0,0,NORMAL,2.5594,1.7356,B,WORLD_BANK,100,B,100
38,2026-07-29T17:33:34.276+05:30,2026-07-29T12:03:34.276Z,30.656436,76.687659,30.656299,76.687778,33.862,143,267.1,32,0.47,18.96,704.49,9.70174,11.496563,9.678835,201,0,0,0,NORMAL,1.4673,1.7356,A,WORLD_BANK,100,A,99.9
39,2026-07-29T17:33:36.296+05:30,2026-07-29T12:03:36.296Z,30.656299,76.687778,30.656154,76.687898,34.462,144,267.1,32,0.47,19.81,724.31,9.719426,11.305153,9.689024,201,0,0,0,NORMAL,2.0574,1.7356,B,WORLD_BANK,100,B,100
40,2026-07-29T17:33:38.279+05:30,2026-07-29T12:03:38.279Z,30.656154,76.687898,30.656013,76.688013,34.797,144,267.1,32,0.48,19.16,743.46,9.255792,12.281344,9.191358,201,0,0,0,NORMAL,2.901,1.836,B,WORLD_BANK,100,B,99.5
41,2026-07-29T17:33:40.275+05:30,2026-07-29T12:03:40.275Z,30.656013,76.688013,30.655871,76.688129,35.29,144,267.1,31,0.5,19.3,762.77,9.432754,11.707114,9.394672,201,0,0,0,NORMAL,2.5027,1.836,B,WORLD_BANK,100,B,100
42,2026-07-29T17:33:41.271+05:30,2026-07-29T12:03:41.271Z,30.655871,76.688129,30.655797,76.68819,35.468,144,262.11,32,0.48,10.12,772.88,9.572665,12.281344,9.515469,100,0,0,0,NORMAL,1.6375,1.836,A,WORLD_BANK,100,A,100
43,2026-07-29T17:33:42.277+05:30,2026-07-29T12:03:42.277Z,30.655797,76.68819,30.655723,76.688254,36.068,143,261.91,31,0.5,10.23,783.12,9.234279,10.960615,9.209022,100,0,0,0,NORMAL,1.3944,2.0901,A,WORLD_BANK,100,A,100
44,2026-07-29T17:33:43.268+05:30,2026-07-29T12:03:43.268Z,30.655723,76.688254,30.655648,76.688319,36.323,143,262.16,31,0.5,10.39,793.51,9.626492,12.223921,9.584377,100,0,0,0,NORMAL,1.3691,2.0901,A,WORLD_BANK,100,A,100
45,2026-07-29T17:33:44.270+05:30,2026-07-29T12:03:44.270Z,30.655648,76.688319,30.655571,76.688384,36.592,143,262.1,31,0.5,10.6,804.11,9.358778,11.037179,9.31809,101,0,0,0,NORMAL,1.3369,2.0901,A,WORLD_BANK,100,A,99.5
46,2026-07-29T17:33:45.275+05:30,2026-07-29T12:03:45.275Z,30.655571,76.688384,30.655493,76.688448,36.945,144,261.52,30,0.51,10.66,814.77,10.063335,12.625882,10.022896,101,0,0,0,NORMAL,1.9577,2.0901,A,WORLD_BANK,100,A,99.5
47,2026-07-29T17:33:46.279+05:30,2026-07-29T12:03:46.279Z,30.655493,76.688448,30.655415,76.688512,37.263,144,260.89,31,0.49,10.48,825.25,9.373007,10.826628,9.351431,100,0,0,0,NORMAL,2.3154,2.0901,B,WORLD_BANK,100,B,100
48,2026-07-29T17:33:47.274+05:30,2026-07-29T12:03:47.274Z,30.655415,76.688512,30.655339,76.688576,37.657,144,260.15,31,0.49,10.5,835.75,9.723634,10.750064,9.710133,100,0,0,0,NORMAL,3.0015,2.2773,B,WORLD_BANK,100,B,100
49,2026-07-29T17:33:48.286+05:30,2026-07-29T12:03:48.286Z,30.655339,76.688576,30.655263,76.688643,37.608,144,259.79,32,0.48,10.64,846.39,9.355591,10.807487,9.332872,101,0,0,0,NORMAL,2.5252,2.2773,B,WORLD_BANK,100,B,99.9
50,2026-07-29T17:33:49.279+05:30,2026-07-29T12:03:49.279Z,30.655263,76.688643,30.655187,76.688706,37.315,144,259.67,32,0.48,10.36,856.75,9.281181,10.596936,9.264078,101,0,0,0,NORMAL,1.8912,2.2773,A,WORLD_BANK,100,A,99.9
51,2026-07-29T17:33:50.270+05:30,2026-07-29T12:03:50.270Z,30.655187,76.688706,30.655111,76.68877,36.673,144,259.61,32,0.49,10.4,867.15,9.446492,10.86491,9.428378,100,0,0,0,NORMAL,1.5321,2.2773,A,WORLD_BANK,100,A,100
52,2026-07-29T17:33:51.286+05:30,2026-07-29T12:03:51.286Z,30.655111,76.68877,30.655036,76.68883,35.983,143,259.46,32,0.49,10.09,877.24,9.650209,11.802819,9.632116,101,0,0,0,NORMAL,1.8757,2.2773,A,WORLD_BANK,100,A,100
53,2026-07-29T17:33:53.282+05:30,2026-07-29T12:03:53.282Z,30.655036,76.68883,30.654896,76.68895,35.226,143,259.62,32,0.48,19.38,896.61,9.664747,12.223921,9.630411,200,0,0,0,NORMAL,1.5585,1.9751,A,WORLD_BANK,100,A,100
54,2026-07-29T17:33:55.282+05:30,2026-07-29T12:03:55.282Z,30.654896,76.68895,30.654758,76.689068,34.526,143,259.37,32,0.48,19.08,915.7,9.331197,11.324294,9.310585,201,0,0,0,NORMAL,2.6689,1.9751,B,WORLD_BANK,100,B,100
55,2026-07-29T17:33:57.278+05:30,2026-07-29T12:03:57.278Z,30.654758,76.689068,30.654622,76.689178,34.041,144,259.59,30,0.5,18.44,934.14,9.544879,10.558654,9.533189,101,0,0,0,NORMAL,1.02,1.9453,A,WORLD_BANK,100,A,99.5
56,2026-07-29T17:33:59.278+05:30,2026-07-29T12:03:59.278Z,30.654622,76.689178,30.654485,76.68929,33.894,144,260.55,31,0.48,18.63,952.77,9.579007,10.769205,9.561982,200,0,0,0,NORMAL,1.2911,1.9453,A,WORLD_BANK,100,A,100
57,2026-07-29T17:34:01.282+05:30,2026-07-29T12:04:01.282Z,30.654485,76.68929,30.654347,76.689406,33.761,144,261.02,32,0.47,18.91,971.68,9.481111,11.190307,9.46331,200,0,0,0,NORMAL,1.4059,1.9453,A,WORLD_BANK,100,A,100
58,2026-07-29T17:34:03.281+05:30,2026-07-29T12:04:03.281Z,30.654347,76.689406,30.654215,76.689518,33.952,143,261.64,32,0.47,18.19,989.87,9.488802,10.596936,9.479963,200,0,0,0,NORMAL,0.8884,1.5131,A,WORLD_BANK,100,A,100
59,2026-07-29T17:34:05.278+05:30,2026-07-29T12:04:05.278Z,30.654215,76.689518,30.654078,76.689634,34.121,144,261.42,32,0.47,18.83,1008.7,9.497668,11.343435,9.475997,201,0,0,0,NORMAL,1.2068,1.5131,A,WORLD_BANK,100,A,99.4
60,2026-07-29T17:34:07.294+05:30,2026-07-29T12:04:07.294Z,30.654078,76.689634,30.65394,76.689749,34.102,144,261.13,32,0.47,18.89,1027.59,9.575221,11.879383,9.551359,200,0,0,0,NORMAL,1.8423,1.3078,A,WORLD_BANK,100,A,100
61,2026-07-29T17:34:09.283+05:30,2026-07-29T12:04:09.283Z,30.65394,76.689749,30.653806,76.689867,34.294,143,260.56,32,0.47,18.71,1046.3,9.83267,12.511036,9.801627,200,0,0,0,NORMAL,2.188,1.3078,B,WORLD_BANK,100,B,100
62,2026-07-29T17:34:11.278+05:30,2026-07-29T12:04:11.278Z,30.653806,76.689867,30.653667,76.689983,34.61,144,260.28,32,0.47,19.02,1065.31,9.600526,10.922333,9.581987,201,0,0,0,NORMAL,1.357,1.3078,A,WORLD_BANK,100,A,100
63,2026-07-29T17:34:13.279+05:30,2026-07-29T12:04:13.279Z,30.653667,76.689983,30.653525,76.690101,34.704,143,260.39,32,0.48,19.44,1084.75,9.330235,10.941474,9.310565,200,0,0,0,NORMAL,1.9743,1.5473,A,WORLD_BANK,100,A,100
64,2026-07-29T17:34:15.283+05:30,2026-07-29T12:04:15.283Z,30.653525,76.690101,30.653385,76.690219,34.85,143,260.76,32,0.47,19.21,1103.95,9.488882,11.152025,9.468383,200,0,0,0,NORMAL,2.3802,1.5473,B,WORLD_BANK,100,B,100
65,2026-07-29T17:34:17.270+05:30,2026-07-29T12:04:17.270Z,30.653385,76.690219,30.653243,76.690339,34.825,143,260.92,32,0.47,19.47,1123.43,9.613552,12.855574,9.569417,201,0,0,0,NORMAL,1.7151,1.8809,A,WORLD_BANK,100,A,99.5
66,2026-07-29T17:34:19.279+05:30,2026-07-29T12:04:19.279Z,30.653243,76.690339,30.653103,76.690461,35.084,143,261.03,32,0.47,19.46,1142.89,9.421912,10.348103,9.409815,202,0,0,0,NORMAL,1.0545,1.8809,A,WORLD_BANK,100,A,100
67,2026-07-29T17:34:21.291+05:30,2026-07-29T12:04:21.291Z,30.653103,76.690461,30.652961,76.690583,35.451,143,261.17,32,0.47,19.65,1162.54,9.440953,10.635218,9.422636,200,0,0,0,NORMAL,1.1934,1.8809,A,WORLD_BANK,100,A,99.5
68,2026-07-29T17:34:23.286+05:30,2026-07-29T12:04:23.286Z,30.652961,76.690583,30.652816,76.690706,35.546,143,261.28,32,0.47,19.98,1182.52,9.614274,11.898524,9.569926,200,0,0,0,NORMAL,1.6569,1.6521,A,WORLD_BANK,100,A,100
69,2026-07-29T17:34:24.286+05:30,2026-07-29T12:04:24.286Z,30.652816,76.690706,30.65274,76.690768,35.596,143,261.32,32,0.47,10.27,1192.8,9.484635,11.24773,9.447907,101,0,0,0,NORMAL,2.0921,1.6521,B,WORLD_BANK,100,B,100
70,2026-07-29T17:34:26.290+05:30,2026-07-29T12:04:26.290Z,30.65274,76.690768,30.652596,76.690887,35.819,143,261.13,32,0.47,19.68,1212.48,9.4304,10.884051,9.41096,200,0,0,0,NORMAL,0.9236,1.6521,A,WORLD_BANK,100,A,100
71,2026-07-29T17:34:27.286+05:30,2026-07-29T12:04:27.286Z,30.652596,76.690887,30.652521,76.690949,36.035,143,261.15,32,0.47,10.22,1222.7,9.40455,11.075461,9.383779,100,0,0,0,NORMAL,1.1398,1.2837,A,WORLD_BANK,100,A,100
72,2026-07-29T17:34:28.285+05:30,2026-07-29T12:04:28.285Z,30.652521,76.690949,30.652445,76.691012,36.094,144,261.09,32,0.47,10.37,1233.07,9.193276,10.48209,9.178038,101,0,0,0,NORMAL,1.6143,1.2837,A,WORLD_BANK,100,A,100
73,2026-07-29T17:34:29.286+05:30,2026-07-29T12:04:29.286Z,30.652445,76.691012,30.652369,76.691074,36.149,143,261.3,31,0.48,10.35,1243.42,9.662287,11.726255,9.637422,101,0,0,0,NORMAL,2.1717,1.2837,B,WORLD_BANK,100,B,100
