"Data Dictionary",""
"",""
"--- Time and Location Data ---",""
"timestamp_iso","The exact date and time the record was created on the device (in ISO 8601 format)."
"gps_time_utc","The precise Coordinated Universal Time (UTC) provided by the GPS satellites, used for global time synchronization."
"latitude","The north/south geographic coordinate of the device."
"longitude","The east/west geographic coordinate of the device."
"speed_kmh","The current speed of the vehicle in kilometers per hour."
"heading_deg","The compass direction (0-360 degrees) the vehicle is traveling."
"altitude_m","The elevation of the device above sea level, measured in meters."
"",""
"--- GPS Quality Metrics ---",""
"satellites","The number of GPS satellites the device is currently locked onto. A higher number generally means better location accuracy."
"hdop","Horizontal Dilution of Precision. This is a measure of GPS accuracy. A lower value (typically 1 or 2) indicates high precision, while a higher value indicates lower accuracy."
"",""
"--- Distance Data ---",""
"distance_m","The distance (in meters) of the segment or between points."
"cumulative_distance_m","The cumulative distance (in meters) traveled since the start of the recording session."
"",""
"--- Sensor (IMU) Data ---","These represent the readings from the device's Inertial Measurement Unit (IMU), which detects vibrations caused by road roughness."
"rms_accel_z","RMS vertical acceleration for segments."
"max_accel_z","Max vertical acceleration for segments."
"avg_accel_z","Average vertical acceleration for segments."
"sample_count","Number of samples for segments."
"",""
"--- Road Roughness (IRI) Analytics ---",""
"iri_value","The calculated International Roughness Index. If 0, the vehicle is stationary or the processing engine has not yet begun reporting roughness."
"iri_class","A categorical label (e.g., ""D"") representing the road surface condition based on the IRI value."
"quality_score","A numerical score reflecting the reliability of the IRI calculation."
"quality_grade","A letter grade (e.g., ""F"") summarizing the confidence in the measurement."
"sensor_rate_hz","The sampling frequency of your sensors, measured in Hertz (Hz). e.g., 100 means the device is capturing 100 sensor readings every second."
"",""
"--------------------------------------------------------------------------------------------------------------------------------",""
segment_index,timestamp_iso,gps_time_utc,start_lat,start_lng,end_lat,end_lng,avg_speed_kmh,heading_deg,altitude_m,satellites,hdop,distance_m,cumulative_distance_m,rms_accel_z,max_accel_z,avg_accel_z,sample_count,pitch_deg,roll_deg,lateral_index,context_flag,iri_value,raw_iri,iri_class,iri_standard,quality_score,quality_grade,sensor_rate_hz
0,2026-07-29T17:45:08.527+05:30,2026-07-29T12:15:08.527Z,30.650389,76.692563,30.650664,76.692029,0,0,266.5,0,0.48,59.49,59.49,9.524264,10.09927,9.52051,300,0,0,0,NORMAL,0,0,A,WORLD_BANK,0,A,97.9
1,2026-07-29T17:45:13.857+05:30,2026-07-29T12:15:13.857Z,30.650664,76.692029,30.650636,76.69233,5.777,0,266.2,0,127,28.94,88.43,9.519025,10.6735,9.513814,503,0,0,0,NORMAL,0,0,A,WORLD_BANK,0,A,99.9
2,2026-07-29T17:45:18.926+05:30,2026-07-29T12:15:18.926Z,30.650636,76.69233,30.650726,76.692259,8.666,324,266.2,27,0.51,12.6,101.03,9.443014,10.443808,9.437037,502,0,0,0,NORMAL,0,0,A,WORLD_BANK,0,A,100
3,2026-07-29T17:45:21.925+05:30,2026-07-29T12:15:21.925Z,30.650726,76.692259,30.650804,76.692188,11.719,324,266.2,28,0.5,11,112.04,9.508245,10.424667,9.500093,300,0,0,0,NORMAL,0,0,A,WORLD_BANK,0,A,100
4,2026-07-29T17:45:24.920+05:30,2026-07-29T12:15:24.920Z,30.650804,76.692188,30.650897,76.692111,12.52,324,266.2,29,0.5,12.72,124.75,9.519862,10.271539,9.514293,301,0,0,0,NORMAL,0.9464,0,A,WORLD_BANK,0,A,99.9
5,2026-07-29T17:45:27.919+05:30,2026-07-29T12:15:27.919Z,30.650897,76.692111,30.650978,76.692045,8.466,318,266.2,30,0.49,10.99,135.74,9.400455,10.252398,9.393024,301,0,0,0,NORMAL,1.1222,0,A,WORLD_BANK,71.29,A,100
6,2026-07-29T17:45:36.751+05:30,2026-07-29T12:15:36.751Z,30.650978,76.692045,30.651066,76.691985,6.695,324,266.2,30,0.49,11.06,146.8,9.519268,10.692641,9.513878,902,0,0,0,NORMAL,1.2606,0,A,WORLD_BANK,64.47,A,99.5
7,2026-07-29T17:45:39.432+05:30,2026-07-29T12:15:39.432Z,30.651066,76.691985,30.651141,76.691916,11.776,323,266.2,30,0.49,10.68,157.49,9.524185,10.156693,9.520945,201,0,0,0,NORMAL,1.1731,0,A,WORLD_BANK,64.47,A,100
8,2026-07-29T17:45:47.251+05:30,2026-07-29T12:15:47.251Z,30.651141,76.691916,30.651211,76.691863,5.823,330,266.2,30,0.49,10.7,168.19,9.48756,10.443808,9.480727,803,0,0,0,NORMAL,1.2223,0,A,WORLD_BANK,60,A,100
9,2026-07-29T17:45:50.253+05:30,2026-07-29T12:15:50.253Z,30.651211,76.691863,30.651326,76.691779,16.898,326,266.2,31,0.47,15.1,183.28,9.587167,10.539513,9.581382,301,0,0,0,NORMAL,0.9937,0,A,WORLD_BANK,60,A,100
10,2026-07-29T17:45:52.264+05:30,2026-07-29T12:15:52.264Z,30.651326,76.691779,30.651414,76.691708,19.348,325,266.2,32,0.47,11.94,195.23,9.493303,10.596936,9.486091,201,0,0,0,NORMAL,0.9753,0,A,WORLD_BANK,80.89,A,99.5
11,2026-07-29T17:45:54.260+05:30,2026-07-29T12:15:54.260Z,30.651414,76.691708,30.6515,76.691637,18.511,322,266.2,32,0.47,11.75,206.98,9.599202,10.175834,9.596652,201,0,0,0,NORMAL,1.0632,0,A,WORLD_BANK,80.89,A,100
12,2026-07-29T17:45:57.256+05:30,2026-07-29T12:15:57.256Z,30.6515,76.691637,30.651571,76.691561,11.514,319,266.2,32,0.47,10.75,217.73,9.638891,10.462949,9.633738,302,0,0,0,NORMAL,0.8718,1.0664,A,WORLD_BANK,76.41,A,100
13,2026-07-29T17:46:18.271+05:30,2026-07-29T12:16:18.271Z,30.651571,76.691561,30.65168,76.691471,7.694,328,266.2,32,0.47,14.73,232.46,9.499709,10.654359,9.494073,2109,0,0,0,NORMAL,0.9975,1.0308,A,WORLD_BANK,60,A,100
14,2026-07-29T17:46:21.263+05:30,2026-07-29T12:16:21.263Z,30.65168,76.691471,30.651786,76.691385,15.925,325,266.2,32,0.47,14.34,246.8,9.621379,10.328962,9.616562,302,0,0,0,NORMAL,1.0305,1.0119,A,WORLD_BANK,77.94,A,100
15,2026-07-29T17:46:24.262+05:30,2026-07-29T12:16:24.262Z,30.651786,76.691385,30.651862,76.691316,11.097,321,266.2,32,0.47,10.72,257.52,9.418377,10.060988,9.414441,302,0,0,0,NORMAL,1.0875,1.0119,A,WORLD_BANK,77.94,A,100
16,2026-07-29T17:46:46.253+05:30,2026-07-29T12:16:46.253Z,30.651862,76.691316,30.65195,76.691252,6.261,326,266.2,32,0.47,11.91,269.44,9.482206,10.692641,9.478058,2209,0,0,0,NORMAL,0.9722,0.9977,A,WORLD_BANK,68.46,A,99.9
17,2026-07-29T17:46:48.274+05:30,2026-07-29T12:16:48.274Z,30.65195,76.691252,30.652022,76.691187,15.647,325,266.2,32,0.47,10.21,279.65,9.544222,10.194975,9.539779,200,0,0,0,NORMAL,1.0823,0.9977,A,WORLD_BANK,68.46,A,100
18,2026-07-29T17:46:50.261+05:30,2026-07-29T12:16:50.261Z,30.652022,76.691187,30.652104,76.691121,17.495,325,266.2,32,0.47,11.04,290.68,9.540738,10.692641,9.535663,200,0,0,0,NORMAL,1.1775,0.9977,A,WORLD_BANK,68.46,A,100
19,2026-07-29T17:46:52.261+05:30,2026-07-29T12:16:52.261Z,30.652104,76.691121,30.652182,76.691056,18.158,324,266.2,32,0.47,10.63,301.32,9.405725,10.367244,9.3961,201,0,0,0,NORMAL,1.1348,1.0449,A,WORLD_BANK,80.36,A,100
20,2026-07-29T17:46:54.261+05:30,2026-07-29T12:16:54.261Z,30.652182,76.691056,30.652255,76.690995,16.717,323,266.2,32,0.47,10.04,311.35,9.513409,10.175834,9.506946,201,0,0,0,NORMAL,1.3686,1.0449,A,WORLD_BANK,80.36,A,100
21,2026-07-29T17:47:12.262+05:30,2026-07-29T12:17:12.262Z,30.652255,76.690995,30.652326,76.690932,7.089,310,294.4,32,0.49,10.25,321.6,9.501444,10.577795,9.497498,1809,0,0,0,NORMAL,1.0114,1.0962,A,WORLD_BANK,60,A,100
22,2026-07-29T17:47:16.263+05:30,2026-07-29T12:17:16.263Z,30.652326,76.690932,30.652422,76.690856,11.079,327,266.4,32,0.49,12.93,334.53,9.389961,10.271539,9.384704,401,0,0,0,NORMAL,0.9413,1.073,A,WORLD_BANK,71.46,A,99.5
23,2026-07-29T17:47:19.261+05:30,2026-07-29T12:17:19.261Z,30.652422,76.690856,30.652528,76.690775,16.081,326,261.28,31,0.5,14.09,348.62,9.457129,10.328962,9.452722,302,0,0,0,NORMAL,0.8373,1.073,A,WORLD_BANK,71.46,A,100
24,2026-07-29T17:47:21.262+05:30,2026-07-29T12:17:21.262Z,30.652528,76.690775,30.652601,76.69071,17.413,324,261.36,31,0.5,10.16,358.78,9.396627,10.118411,9.39268,200,0,0,0,NORMAL,0.8901,1.0467,A,WORLD_BANK,79.76,A,100
25,2026-07-29T17:47:23.280+05:30,2026-07-29T12:17:23.280Z,30.652601,76.69071,30.652676,76.690643,18.028,324,261.39,31,0.5,10.59,369.37,9.406455,10.86491,9.395434,201,0,0,0,NORMAL,1.2432,1.0467,A,WORLD_BANK,79.76,A,100
26,2026-07-29T17:47:25.257+05:30,2026-07-29T12:17:25.257Z,30.652676,76.690643,30.652754,76.690577,18.296,325,261.02,31,0.5,10.7,380.07,9.456687,10.405526,9.450182,202,0,0,0,NORMAL,1.3035,1.0467,A,WORLD_BANK,79.76,A,100
27,2026-07-29T17:47:27.258+05:30,2026-07-29T12:17:27.258Z,30.652754,76.690577,30.652829,76.690515,18.301,325,266.4,32,0.49,10.25,390.32,9.427144,10.328962,9.421431,201,0,0,0,NORMAL,0.7706,1.0538,A,WORLD_BANK,81.58,A,99.5
28,2026-07-29T17:47:29.261+05:30,2026-07-29T12:17:29.261Z,30.652829,76.690515,30.652907,76.69045,18.459,324,266.4,32,0.49,10.65,400.97,9.495064,10.367244,9.490186,201,0,0,0,NORMAL,0.7546,1.0538,A,WORLD_BANK,81.58,A,100
29,2026-07-29T17:47:31.248+05:30,2026-07-29T12:17:31.248Z,30.652907,76.69045,30.652988,76.690388,18.56,324,266.4,32,0.49,10.8,411.78,9.413833,10.405526,9.408385,201,0,0,0,NORMAL,1.0275,0.9677,A,WORLD_BANK,81.81,A,100
30,2026-07-29T17:47:33.255+05:30,2026-07-29T12:17:33.255Z,30.652988,76.690388,30.653065,76.690327,18.667,326,261.41,31,0.5,10.37,422.14,9.602161,10.884051,9.596652,201,0,0,0,NORMAL,0.9963,0.9677,A,WORLD_BANK,81.81,A,100
31,2026-07-29T17:47:35.263+05:30,2026-07-29T12:17:35.263Z,30.653065,76.690327,30.653144,76.69027,18.492,327,261.73,32,0.47,10.3,432.44,9.428795,10.09927,9.424167,200,0,0,0,NORMAL,0.8962,0.9677,A,WORLD_BANK,81.81,A,99.9
32,2026-07-29T17:47:37.258+05:30,2026-07-29T12:17:37.258Z,30.653144,76.69027,30.653222,76.690208,18.569,325,262.04,32,0.47,10.54,442.98,9.515162,10.596936,9.510089,201,0,0,0,NORMAL,0.9565,0.9466,A,WORLD_BANK,81.79,A,99.5
